Done1.
notepad.exe analyzing.. 
['DB', 'INC', 'SUB', 'CALL']
['MOV', 'TEST', 'LAHF', 'MOV']
['PUSHA', 'OR', 'SBB', 'RETF']
['ADD', 'JZ', 'AND', 'NOP']
['MOV', 'MOV', 'ADC', 'STI']
['JMP', 'JP', 'JMP', 'PUSH']
['AND', 'INC', 'ADD', 'MOV']
['CDQ', 'INC', 'MOV', 'CMP']
['FIDIV', 'ADD', 'XOR', 'ADD']
['FADD', 'SHR', 'AND', 'LOOPNZ']
['LOOP', 'HLT', 'PUSHF', 'SBB']
['LOCK', 'ADD', 'STI', 'JL']
['IN', 'JMP', 'MOV', 'NOP']
['TEST', 'AAS', 'OR', 'LODSB']
['SUB', 'DEC', 'CMOVB', 'DEC']
['MOV', 'JNP', 'LES', 'PUSH']
['TEST', 'IN', 'FCMOVE', 'MOV']
['AND', 'MOV', 'SAR', 'OR']
['FDIVR', 'PUSH', 'MOV', 'LES']
['STD', 'INC', 'DB', 'MOV']
['CALL', 'RETF', 'DB', 'CALL']
['STD', 'MOV', 'STOSD', 'INC']
['XCHG', 'TEST', 'BOUND', 'POP']
['MOV', 'AND', 'PUSHA', 'AAA']
['NEG', 'DEC', 'MOV', 'DEC']
['AAM', 'DB', 'DB', 'DB']
['ADC', 'BOUND', 'SBB', 'SAHF']
['JMP', 'JMP', 'DAA', 'DEC']
['INC', 'INS', 'DB', 'ADC']
['AAS', 'SCASB', 'STI', 'DB']
['STI', 'LAHF', 'ADD', 'AAS']
['XCHG', 'OR', 'INC', 'DEC']
['ADD', 'DAA', 'ADD', 'PUSH']
['DEC', 'MOV', 'JGE', 'DB']
['ADD', 'DEC', 'ARPL', 'DEC']
['MOV', 'PUSH', 'SCASB', 'FLDENV']
['MOV', 'MOV', 'MOV', 'CMPSB']
['DEC', 'MOV', 'ADD', 'MOV']
['SHR', 'SBB', 'FCMOVNU', 'JLE']
['STD', 'CALL', 'STI', 'CMC']
['ADC', 'OUT', 'ADC', 'WAIT']
['SCASB', 'OR', 'PUSHA', 'XOR']
['POP', 'XOR', 'POP', 'XOR']
['DB', 'AAS', 'XCHG', 'XOR']
['IRET', 'JG', 'CMP', 'IN']
['OUTS', 'PUSH', 'IMUL', 'POP']
['PUSH', 'XLAT', 'OUTS', 'JZ']
['POPA', 'JZ', 'JB', 'ADD']
